Consequent	Antecedent 	Support %	Confidence %
ItemID_2	hour_17 and student_group_F2	3.988676981528232	42.190192699357674
ItemID_2	hour_17 and student_group_F3	1.595970705126603	40.994518402505875
ItemID_2	hour_17 and student_group_F1	0.89234383982803	39.77591036414566
ItemID_2	hour_17 and student_group_F4	0.955457794885895	37.80248528449967
ItemID_151	student_group_F0 and hour_20	2.110880595895718	34.33984606275903
ItemID_151	hour_20 and student_group_F3	2.768265553528133	31.331828442437924
ItemID_151	hour_20 and student_group_F4	1.760316944534706	29.925452609158683
ItemID_151	hour_20 and student_group_F2	2.39958007348714	29.192708333333332
ItemID_151	student_group_F0 and hour_21	1.294773414652436	27.84749034749035
ItemID_151	student_group_F0 and hour_22	0.87859624565701	26.600284495021338
ItemID_151	student_group_F1 and hour_20	0.816107181243283	22.28177641653905
ItemID_151	student_group_F0 and hour_23	0.757367460694379	22.112211221122113
ItemID_134	hour_1 and student_group_F1	0.904216762066638	19.212163096060817
ItemID_151	student_group_F0 and hour_0	0.727372709775789	17.525773195876287
ItemID_151	hour_21 and student_group_F4	1.609093408653486	16.42718446601942
ItemID_130	student_group_F0 and hour_20	2.110880595895718	16.044997039668445
ItemID_151	hour_21 and student_group_F2	2.165246081935661	15.873015873015872
ItemID_151	student_group_F1 and hour_22	1.474741920163971	15.847457627118644
ItemID_151	hour_21 and student_group_F1	0.978578748718974	15.836526181353769
ItemID_151	hour_21 and student_group_F3	2.313970055240333	14.690791250337565
ItemID_2	hour_18 and student_group_F2	0.583647861624216	14.5610278372591
ItemID_123	hour_17 and student_group_F3	1.595970705126603	14.13469068128426
ItemID_188	hour_17 and student_group_F1	0.89234383982803	13.935574229691877
ItemID_151	student_group_F1 and hour_23	2.356462619041668	13.126491646778044
ItemID_188	hour_17 and student_group_F4	0.955457794885895	13.01504251144539
ItemID_123	hour_17 and student_group_F1	0.89234383982803	12.745098039215685
ItemID_128	student_group_F4 and hour_23	2.295848226560352	12.520413718018508
ItemID_151	hour_22 and student_group_F3	3.141325268078087	12.393077382136465
ItemID_134	student_group_F1 and hour_0	1.949033919064164	12.215453671048412
ItemID_128	hour_23 and student_group_F2	4.085535031369511	12.144386662587948
ItemID_123	hour_17 and student_group_F2	3.988676981528232	12.125959580134733
ItemID_151	hour_22 and student_group_F4	1.930287199740046	12.010359339592101
ItemID_123	hour_17 and student_group_F4	0.955457794885895	11.903204708960105
