Consequent	Antecedent 	Support %	Confidence %
ItemID_188	student_group_H4 and hour_17	3.15336053632E-4	100.0
ItemID_155	student_group_H4 and hour_20	3.15336053632E-4	100.0
ItemID_2	student_group_H4 and hour_18	6.30672107265E-4	100.0
ItemID_134	student_group_H3 and hour_0	3.15336053632E-4	100.0
ItemID_148	hour_19 and student_group_F3	3.15336053632E-4	100.0
ItemID_146	student_group_P5 and hour_20	6.30672107265E-4	100.0
ItemID_188	hour_16 and student_group_H1	6.30672107265E-4	100.0
ItemID_163	student_group_F6 and hour_18	3.15336053632E-4	100.0
ItemID_130	student_group_H3 and hour_20	0.002207352375426	85.71428571428571
ItemID_130	student_group_H3	0.003784032643588	75.0
ItemID_134	student_group_H4 and hour_22	0.001261344214529	75.0
ItemID_130	student_group_H3 and hour_22	0.001261344214529	75.0
ItemID_161	student_group_P1 and hour_22	0.002522688429059	75.0
ItemID_2	hour_16 and student_group_F1	0.0107214258235	70.58823529411765
ItemID_128	hour_2 and student_group_H1	9.46008160897E-4	66.66666666666666
ItemID_2	hour_16 and student_group_F0	0.006622057126279	61.904761904761905
ItemID_151	student_group_P5 and hour_21	0.009460081608971	56.666666666666664
ItemID_151	student_group_P5 and hour_22	0.005045376858118	56.25
ItemID_2	hour_17 and student_group_F0	0.403314812595783	55.90304925723222
ItemID_151	student_group_P5	0.015136130574353	54.166666666666664
ItemID_2	hour_16 and student_group_F4	0.005991385019015	52.63157894736842
ItemID_151	student_group_P3 and hour_20	0.009775417662603	51.61290322580645
ItemID_154	student_group_P2	6.30672107265E-4	50.0
ItemID_128	student_group_P2	6.30672107265E-4	50.0
ItemID_154	student_group_P2 and hour_0	6.30672107265E-4	50.0
ItemID_128	student_group_P2 and hour_0	6.30672107265E-4	50.0
ItemID_124	student_group_F7 and hour_21	0.002522688429059	50.0
ItemID_171	hour_2 and student_group_F1	6.30672107265E-4	50.0
ItemID_169	hour_2 and student_group_F1	6.30672107265E-4	50.0
ItemID_124	hour_19 and student_group_F1	0.001261344214529	50.0
ItemID_76	hour_19 and student_group_F1	0.001261344214529	50.0
ItemID_15	student_group_P3 and hour_23	6.30672107265E-4	50.0
ItemID_134	student_group_P3 and hour_23	6.30672107265E-4	50.0
ItemID_151	student_group_P3 and hour_22	0.003784032643588	50.0
ItemID_2	hour_16 and student_group_F3	0.01198277003803	50.0
ItemID_151	student_group_B1 and hour_20	0.017974155057044	49.122807017543856
ItemID_2	hour_16 and student_group_F2	0.065274563101898	48.309178743961354
ItemID_2	student_group_H2 and hour_17	0.046669735937589	47.2972972972973
ItemID_2	hour_17 and student_group_F1	0.832171845535787	45.58544903372489
ItemID_2	hour_17 and student_group_F2	4.465789191541425	44.972461516734924
ItemID_151	student_group_P3	0.018289491110677	44.827586206896555
ItemID_46	hour_2 and student_group_F3	0.002838024482691	44.44444444444444
ItemID_2	hour_17	9.169972439628912	43.65543328748281
ItemID_2	hour_16 and student_group_F6	0.009460081608971	43.333333333333336
ItemID_12	hour_19 and student_group_B1	0.002207352375426	42.857142857142854
ItemID_2	hour_17 and student_group_F3	2.078379929490859	42.451828250644816
ItemID_151	student_group_H1 and hour_20	0.268035645587503	42.11764705882353
ItemID_151	student_group_H2 and hour_20	0.654637647340771	40.847784200385355
ItemID_142	student_group_F7 and hour_20	0.003153360536324	40.0
ItemID_151	student_group_P3 and hour_21	0.003153360536324	40.0
ItemID_151	student_group_B1 and hour_1	0.011352097930765	38.88888888888889
ItemID_2	hour_17 and student_group_F4	1.113136269322217	38.4985835694051
ItemID_151	student_group_D1 and hour_1	0.018920163217941	38.333333333333336
ItemID_2	hour_16	0.150730633636266	38.28451882845189
ItemID_2	student_group_H1 and hour_17	0.031533605363236	38.0
ItemID_134	student_group_H4	0.002522688429059	37.5
ItemID_123	student_group_H2 and hour_17	0.046669735937589	36.486486486486484
ItemID_2	student_group_H1 and hour_18	0.025542220344221	35.80246913580247
ItemID_151	student_group_D1 and hour_22	0.045723727776692	35.172413793103445
ItemID_151	student_group_D1	0.069058595745486	34.70319634703196
ItemID_2	student_group_F5 and hour_17	0.122665724862986	34.447300771208226
ItemID_151	student_group_H1 and hour_21	0.228618638883458	34.206896551724135
ItemID_100	hour_2 and student_group_H1	9.46008160897E-4	33.33333333333333
ItemID_134	hour_2 and student_group_F2	0.001892016321794	33.33333333333333
ItemID_12	hour_19 and student_group_F4	0.002838024482691	33.33333333333333
ItemID_25	student_group_P3 and hour_0	9.46008160897E-4	33.33333333333333
ItemID_134	student_group_P3 and hour_0	9.46008160897E-4	33.33333333333333
ItemID_154	student_group_P3 and hour_0	9.46008160897E-4	33.33333333333333
ItemID_196	student_group_B1 and hour_1	0.011352097930765	33.33333333333333
ItemID_123	hour_16 and student_group_F2	0.065274563101898	32.367149758454104
ItemID_161	student_group_P1	0.007883401340809	32.0
ItemID_151	hour_20 and student_group_F3	4.033778798065097	30.29237023139462
ItemID_151	student_group_F7 and hour_20	0.003153360536324	30.0
ItemID_151	student_group_H1 and hour_22	0.334256216850297	29.71698113207547
ItemID_2	hour_18 and student_group_F0	0.248169474208664	29.60609911054638
ItemID_151	hour_20	15.96641040356708	29.08379910335157
ItemID_151	hour_20 and student_group_F4	2.80396818889891	28.992352676563204
ItemID_173	hour_2 and student_group_F4	0.002207352375426	28.57142857142857
ItemID_107	hour_2 and student_group_F4	0.002207352375426	28.57142857142857
ItemID_154	hour_19 and student_group_B1	0.002207352375426	28.57142857142857
ItemID_2	hour_19 and student_group_F2	0.004414704750853	28.57142857142857
ItemID_151	student_group_F0 and hour_20	3.020919393797971	28.18371607515658
ItemID_151	student_group_H2	1.574788251839986	27.653183820584704
ItemID_151	hour_20 and student_group_F2	3.565820094474682	27.431906614785994
ItemID_151	student_group_H2 and hour_21	0.350023019531915	25.945945945945947
ItemID_76	student_group_B1 and hour_18	0.046354399883956	25.170068027210885
ItemID_2	student_group_H4	0.002522688429059	25.0
ItemID_134	student_group_H3	0.003784032643588	25.0
ItemID_76	student_group_H4 and hour_22	0.001261344214529	25.0
ItemID_134	student_group_H3 and hour_22	0.001261344214529	25.0
ItemID_186	student_group_F7 and hour_21	0.002522688429059	25.0
ItemID_142	student_group_P1 and hour_20	0.002522688429059	25.0
ItemID_130	student_group_P1 and hour_20	0.002522688429059	25.0
ItemID_128	student_group_P1 and hour_20	0.002522688429059	25.0
